track,artist,streams,genre,year,duration_sec,explicit
Set Fire to the Rain,Adele,460000000,Pop,2011,242,0
Skyfall,Adele,440000000,Pop,2012,286,0
Hello,Adele,420000000,Pop,2015,295,0
Send My Love,Adele,400000000,Pop,2016,209,0
Water Under the Bridge,Adele,380000000,Pop,2015,259,0
Million Years Ago,Adele,360000000,Pop,2015,229,0
All I Ask,Adele,340000000,Pop,2015,261,0
Love in the Dark,Adele,320000000,Pop,2015,265,0
Remedy,Adele,300000000,Pop,2015,258,0
Sweetest Devotion,Adele,280000000,Pop,2015,276,0
River Lea,Adele,260000000,Pop,2015,223,0
Flat Line,Adele,240000000,Pop,2015,245,0
I Miss You,Adele,220000000,Pop,2015,285,0
Why Do You Love Me,Adele,200000000,Pop,2020,195,0
Easy On Me,Adele,180000000,Pop,2021,224,0
Oh My God,Adele,160000000,Pop,2021,224,0
Can I Get It,Adele,140000000,Pop,2021,219,0
I Drink Wine,Adele,120000000,Pop,2021,375,0
Hold On,Adele,100000000,Pop,2021,337,0
Cry Your Heart Out,Adele,80000000,Pop,2021,261,0
Love Is a Game,Adele,60000000,Pop,2021,298,0
My Little Love,Adele,50000000,Pop,2021,488,0
To Be Loved,Adele,45000000,Pop,2021,384,0
Wild Wild West,Adele,40000000,Pop,2021,242,0
Strangers by Nature,Adele,35000000,Pop,2021,150,0
Shivers,Ed Sheeran,900000000,Pop,2021,207,0
Bad Habits,Ed Sheeran,1200000000,Pop,2021,231,0
Overpass Graffiti,Ed Sheeran,300000000,Pop,2021,211,0
The Joker and the Queen,Ed Sheeran,250000000,Pop,2022,218,0
2step,Ed Sheeran,200000000,Pop,2022,195,0
Stop the Rain,Ed Sheeran,150000000,Pop,2022,234,0
Visiting Hours,Ed Sheeran,180000000,Pop,2022,234,0
Tides,Ed Sheeran,130000000,Pop,2022,183,0
Sandman,Ed Sheeran,120000000,Pop,2022,201,0
Be Right Now,Ed Sheeran,110000000,Pop,2022,198,0
